10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,, VALID VOTES POLLED ,,,,
 STATE/UT NAME , AC NO. , AC NAME , CANDIDATE NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS 
NCT OF Delhi,1,NARELA,1 SHARAD KUMAR,MALE,44,GENERAL,AAAP,Broom,86070,192,86262,52.0610281603438,253982
NCT OF Delhi,1,NARELA,2 NEEL DAMAN KHATRI,MALE,49,GENERAL,BJP,Lotus,68244,589,68833,41.5422405156493,253982
NCT OF Delhi,1,NARELA,3 SIDDHARTH KUNDU,MALE,41,GENERAL,INC,Hand,6240,30,6270,3.78408391372047,253982
NCT OF Delhi,1,NARELA,4 RAJBALA SAINI,FEMALE,44,GENERAL,LTSP,Pressure Cooker,1077,5,1082,0.653010972032783,253982
NCT OF Delhi,1,NARELA,5 MAHENDER CHAUDHARY,MALE,44,GENERAL,BSP,Elephant,811,10,821,0.495491689499922,253982
NCT OF Delhi,1,NARELA,6 NOTA,,,,NOTA,NOTA,746,7,753,0.454452182939636,253982
NCT OF Delhi,1,NARELA,7 NAR SINGH,MALE,39,GENERAL,SHtP,Green Chilli,603,1,604,0.364527381800186,253982
NCT OF Delhi,1,NARELA,8 SULESH KUMAR,MALE,50,GENERAL,AAPP,Battery torch,495,,495,0.298743466872669,253982
NCT OF Delhi,1,NARELA,9 SURESH KUMAR,MALE,61,SC,PPID,Basket containing Fruits,180,,180,0.108633987953698,253982
NCT OF Delhi,1,NARELA,10 ADITI,FEMALE,26,GENERAL,IND,Plastering Trowel,151,,151,0.0911318454500465,253982
NCT OF Delhi,1,NARELA,11 CHAND RAM,MALE,57,GENERAL,RAJSPty,Telephone,138,,138,0.0832860574311683,253982
NCT OF Delhi,1,NARELA,12 RAMESH KUMAR,MALE,54,SC,BSNP,Wheel Barrow,104,1,105,0.0633698263063237,253982
 TURNOUT , TOTAL : ,,,,,,,,164859,835,165694,65.2384814671906,
