10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,VALID VOTES POLLED,,,,
STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Punjab,1,Sujanpur,1 NARESH PURI,MALE,52,GENERAL,INC,Hand,46456,460,46916,36.27,170312
Punjab,1,Sujanpur,2 DINESH SINGH (BABBU),MALE,59,GENERAL,BJP,Lotus,41673,607,42280,32.69,170312
Punjab,1,Sujanpur,3 AMIT SINGH (MANTO),MALE,45,GENERAL,AAAP,Broom,28803,507,29310,22.66,170312
Punjab,1,Sujanpur,4 RAJ KUMAR GUPTA (BITTU),MALE,56,GENERAL,SAD,Scales,7943,56,7999,6.18,170312
Punjab,1,Sujanpur,5 NOTA,,,,NOTA,NOTA,801,12,813,0.63,170312
Punjab,1,Sujanpur,6 MANDEEP KAUR,FEMALE,35,GENERAL,SAD(M),BUCKET,678,26,704,0.54,170312
Punjab,1,Sujanpur,7 BABA PAWAN KUMAR,MALE,68,GENERAL,IND,Television,421,3,424,0.33,170312
Punjab,1,Sujanpur,8 MANGA,MALE,42,SC,IND,Pot,353,1,354,0.27,170312
Punjab,1,Sujanpur,9 DESH RAJ,MALE,62,SC,IND,Scissors,272,8,280,0.22,170312
Punjab,1,Sujanpur,10 KANWAR VISHWADEEP SINGH SALARIA,MALE,37,GENERAL,IND,Batsman,269,2,271,0.21,170312
TURN OUT,,,,,,TOTAL:,,,127669,1682,129351,75.95,
Punjab,2,Bhoa,1 LAL CHAND,MALE,51,SC,AAAP,Broom,49504,835,50339,36.59,186914
Punjab,2,Bhoa,2 JOGINDER PAL,MALE,57,SC,INC,Hand,48399,736,49135,35.72,186914
Punjab,2,Bhoa,3 SEEMA KUMARI,FEMALE,43,SC,BJP,Lotus,28484,648,29132,21.18,186914
Punjab,2,Bhoa,4 RAKESH KUMAR,MALE,41,SC,BSP,Elephant,4968,78,5046,3.67,186914
Punjab,2,Bhoa,5 MUNISH KUMAR,MALE,25,SC,SAD(M),BUCKET,1100,18,1118,0.81,186914
Punjab,2,Bhoa,6 NOTA,,,,NOTA,NOTA,736,13,749,0.54,186914
Punjab,2,Bhoa,7 YUDHVIR SINGH,MALE,64,SC,IND,Ganna Kisan,708,9,717,0.52,186914
Punjab,2,Bhoa,8 KARAM SINGH,MALE,65,SC,IND,Bat,643,9,652,0.47,186914
Punjab,2,Bhoa,9 VIJAY KUMAR,MALE,44,SC,IND,Bricks,378,1,379,0.28,186914
Punjab,2,Bhoa,10 DHARMINDER,MALE,27,SC,IND,Pot,302,3,305,0.22,186914
TURN OUT,,,,,,TOTAL:,,,135222,2350,137572,73.6,
Punjab,3,Pathankot,1 ASHWANI KUMAR SHARMA,MALE,57,GENERAL,BJP,Lotus,42787,345,43132,38.01,153731
Punjab,3,Pathankot,2 AMIT VIJ,MALE,44,GENERAL,INC,Hand,35159,214,35373,31.17,153731
Punjab,3,Pathankot,3 VIBHUTI SHARMA,MALE,58,GENERAL,AAAP,Broom,31149,302,31451,27.72,153731
Punjab,3,Pathankot,4 ADVOCATE JYOTI PAL BHIM,MALE,41,SC,BSP,Elephant,1065,14,1079,0.95,153731
Punjab,3,Pathankot,5 KARTAR SINGH,MALE,41,GENERAL,SAD(M),BUCKET,946,9,955,0.84,153731
Punjab,3,Pathankot,6 SATYA DEV SAINI,MALE,74,GENERAL,CPI,Ears of Corn And Sickle,822,2,824,0.73,153731
Punjab,3,Pathankot,7 NOTA,,,,NOTA,NOTA,664,2,666,0.59,153731
TURN OUT,,,,,,TOTAL:,,,112592,888,113480,73.82,
Punjab,4,Gurdaspur,1 BARINDERMEET SINGH PAHRA,MALE,41,GENERAL,INC,Hand,42955,788,43743,35.23,171576
Punjab,4,Gurdaspur,2 GURBACHAN SINGH BABEHALI,MALE,67,GENERAL,SAD,Scales,35974,434,36408,29.33,171576
Punjab,4,Gurdaspur,3 RAMAN BAHL,MALE,64,GENERAL,AAAP,Broom,28965,535,29500,23.76,171576
Punjab,4,Gurdaspur,4 PARMINDER SINGH GILL,MALE,47,GENERAL,BJP,Lotus,9648,171,9819,7.91,171576
Punjab,4,Gurdaspur,5 INDERPAL SINGH,MALE,31,GENERAL,SNYKSNGRHP,Cup & Saucer,2360,31,2391,1.93,171576
Punjab,4,Gurdaspur,6 NOTA,,,,NOTA,NOTA,685,14,699,0.56,171576
Punjab,4,Gurdaspur,7 SIMRANJIT SINGH MAAN,MALE,26,GENERAL,PKD,Hand Cart,298,7,305,0.25,171576
Punjab,4,Gurdaspur,8 DEEPAK SHARMA,MALE,41,GENERAL,IND,Battery Torch,294,0,294,0.24,171576
Punjab,4,Gurdaspur,9 SUNNY GILL,MALE,28,GENERAL,IND,Ganna Kisan,248,2,250,0.2,171576
Punjab,4,Gurdaspur,10 JAGDISH MASIH,MALE,47,GENERAL,IND,Table,172,0,172,0.14,171576
Punjab,4,Gurdaspur,11 KARANDEEP SINGH,MALE,34,GENERAL,IND,Truck,167,1,168,0.14,171576
Punjab,4,Gurdaspur,12 PARMJEET SINGH,MALE,54,SC,IND,Football,159,0,159,0.13,171576
Punjab,4,Gurdaspur,13 GURPREET SINGH,MALE,36,GENERAL,IND,School Bag,133,1,134,0.11,171576
Punjab,4,Gurdaspur,14 SUNNY,MALE,32,GENERAL,IND,SHIP,109,1,110,0.09,171576
TURN OUT,,,,,,TOTAL:,,,122167,1985,124152,72.36,
